Rk,Player,WAR▼,IP,Place,Season,Age,Team,Lg,W,L,W-L%,Dec,ERA,G,GS,CG,SHO,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,WAR,WAA,Pos,Player-additional
573,Nick Pivetta,-0.4,133.0,,2017,24,PHI,NL,8,10,.444,18,6.02,26,26,0,0,0,133.0,144,91,89,25,57,0,140,4,2,11,584,72,4.87,1.511,9.7,1.7,3.9,9.5,2.46,-0.4,-1.5,1,pivetni01
574,Taj Bradley,-0.4,104.2,,2023,22,TBR,AL,5,8,.385,13,5.59,23,21,0,0,0,104.2,106,69,65,23,39,0,129,1,0,6,460,75,4.79,1.385,9.1,2.0,3.4,11.1,3.31,-0.4,-1.4,,bradlta01
575,Greg Maddux,-0.4,155.2,,1987,21,CHC,NL,6,14,.300,20,5.61,30,27,1,1,0,155.2,181,111,97,17,74,13,101,4,7,4,701,76,4.50,1.638,10.5,1.0,4.3,5.8,1.36,-0.4,-1.8,1/H,maddugr01
576,Jeriome Robertson,-0.5,160.2,ROY-7,2003,26,HOU,NL,15,9,.625,24,5.10,32,31,0,0,0,160.2,180,98,91,23,64,8,99,6,2,1,711,86,4.97,1.519,10.1,1.3,3.6,5.5,1.55,-0.5,-1.7,1/H,roberje02
577,Mike Bielecki,-0.5,148.2,,1986,26,PIT,NL,6,11,.353,17,4.66,31,27,0,0,0,148.2,149,87,77,10,83,3,83,2,5,7,667,83,4.24,1.561,9.0,0.6,5.0,5.0,1.00,-0.5,-1.8,1,bielemi01
578,José Jiménez,-0.5,163.0,,1999,25,STL,NL,5,14,.263,19,5.85,29,28,2,2,0,163.0,173,114,106,16,71,2,113,11,1,10,727,79,4.53,1.497,9.6,0.9,3.9,6.2,1.59,-0.5,-1.8,1/H,jimenjo01
579,Scott Richmond,-0.5,138.2,,2009,29,TOR,AL,8,11,.421,19,5.52,27,24,1,0,0,138.2,147,90,85,27,59,1,117,0,1,5,610,80,5.22,1.486,9.5,1.8,3.8,7.6,1.98,-0.5,-1.8,1,richmsc01
580,Eric Bell,-0.5,165.0,,1987,23,BAL,AL,10,13,.435,23,5.45,33,29,2,0,0,165.0,174,113,100,32,78,0,111,2,1,11,729,81,5.50,1.527,9.5,1.7,4.3,6.1,1.42,-0.5,-2.0,,beller01
581,Ed Hodge,-0.5,100.0,,1984,26,MIN,AL,4,3,.571,7,4.77,25,15,0,0,0,100.0,116,59,53,13,29,1,59,1,2,3,432,88,4.18,1.450,10.4,1.2,2.6,5.3,2.03,-0.5,-1.4,,hodgeed01
582,Derek Holland,-0.5,138.1,,2009,22,TEX,AL,8,13,.381,21,6.12,33,21,1,1,0,138.1,160,98,94,26,47,0,107,4,3,3,611,76,5.10,1.496,10.4,1.7,3.1,7.0,2.28,-0.5,-1.8,1,hollade01
