Player,Team,Span Started,Span Ended,WPA,IP,W,L,GS,W-L%,ERA,H,HR,BB,SO,BF,BR,GmSc,RE24,aLI,Player-additional
John Stuper,STL,6/1/82,9/24/82,0.9,130.2,9,6,20,0.6,3.17,129,8,52,51,552,185,52,9.11,1.11,stupejo01
Greg Mathews,STL,6/3/86,9/18/86,0.9,134.1,10,7,20,0.588,3.55,125,13,40,64,543,171,53,8.88,1,mathegr01
Juan Nieves,MIL,4/10/86,7/22/86,0.9,127.2,9,4,21,0.692,4.02,134,7,60,79,560,205,49,0.35,1.12,nieveju01
J.P. France,HOU,5/6/23,9/4/23,0.9,121,10,5,20,0.667,3.72,122,18,37,91,513,164,52,8.52,0.95,francjp01
Adam Eaton,SDP,5/30/00,9/26/00,0.9,129,6,4,21,0.6,4.33,131,14,59,88,560,195,50,7.64,0.98,eatonad01
Jason Simontacchi,STL,5/4/02,9/8/02,0.9,123.2,10,5,21,0.667,4.15,117,17,46,62,518,171,50,1.1,0.98,simonja01
CC Sabathia,CLE,4/8/01,2001-07-28 (1),0.9,112,10,3,21,0.769,4.18,93,8,62,98,480,164,51,5.79,1,sabatc.01
Zack Greinke,KCR,5/22/04,9/14/04,0.9,126.1,8,10,21,0.444,4.2,124,25,23,85,522,158,52,10.72,0.86,greinza01
Cole Hamels,PHI,5/12/06,9/16/06,0.8,119.2,8,8,21,0.5,4.21,104,18,44,128,503,157,54,4.14,0.82,hamelco01
Tim Lincecum,SFG,5/6/07,8/26/07,0.8,130.1,7,4,21,0.636,3.94,103,12,55,137,541,163,56,10.09,0.99,linceti01
Jason Bere,CHW,5/27/93,9/14/93,0.8,123,9,5,21,0.643,3.8,93,11,73,110,526,176,54,10.82,0.95,bereja01
Tobias Myers,MIL,4/23/24,8/27/24,0.8,108.1,6,5,20,0.545,2.99,94,15,28,94,440,131,55,15.17,0.94,myersto01
Chris Paddack,SDP,3/31/19,8/16/19,0.8,115,7,6,21,0.538,3.44,87,20,26,121,466,128,56,8.14,0.93,paddach01
Bob Tewksbury,NYY,4/11/86,9/22/86,0.8,114,7,5,18,0.583,3.63,132,7,28,43,493,170,49,5.87,1.04,tewksbo01
Eduardo Rodríguez,BOS,5/28/15,9/28/15,0.8,121.2,10,6,21,0.625,3.85,120,13,37,98,522,168,52,6.54,0.95,rodried05
Ryan Rupe,TBD,5/5/99,8/31/99,0.8,125.2,8,7,21,0.533,4.51,122,16,52,84,548,194,49,0.74,1,rupery01
Horacio Ramírez,ATL,4/2/03,8/10/03,0.8,130,8,4,21,0.667,4.15,130,16,56,76,561,200,49,3.79,1.03,ramirho01
Shane McClanahan,TBR,4/29/21,9/2/21,0.8,105.1,9,5,21,0.643,3.76,106,12,33,125,446,146,53,8.94,1,mcclash01
Kyle Freeland,COL,4/7/17,2017-07-30 (1),0.7,121.1,11,7,20,0.611,3.71,124,15,44,76,525,180,50,11.32,0.93,freelky01
Lance McCullers Jr.,HOU,5/18/15,9/28/15,0.7,120.2,6,7,21,0.462,3.21,100,9,41,123,496,151,57,9.82,1.02,mcculla02
Mark Thurmond,SDP,5/14/83,9/28/83,0.7,115.1,7,3,18,0.7,2.65,104,7,33,49,466,145,55,12.01,1.04,thurmma01
Daniel Cabrera,BAL,2004-05-13 (1),8/21/04,0.6,117.2,9,6,20,0.6,4.67,119,12,59,60,519,183,47,0.4,1.01,cabreda01
Wei-Yin Chen,BAL,4/10/12,7/29/12,0.6,128.1,9,6,21,0.6,3.65,113,16,43,105,538,164,54,5.51,0.94,chenwe02
Kirk McCaskill,CAL,5/1/85,8/19/85,0.6,135,9,7,21,0.563,4.07,131,12,44,68,571,186,51,6.69,0.94,mccaski01
Joe Magrane,STL,4/25/87,9/4/87,0.6,133.1,7,6,21,0.538,3.71,129,6,50,79,572,195,52,5.86,1.06,magrajo01
George Kirby,SEA,5/8/22,9/10/22,0.6,111.2,7,3,21,0.7,2.98,113,12,14,115,461,136,55,8.62,0.9,kirbyge01
Mark Langston,SEA,4/7/84,7/17/84,0.6,126.1,8,7,19,0.533,3.49,107,9,61,103,538,177,54,4.46,1.07,langsma01
Don Robinson,PIT,4/10/78,7/22/78,0.6,124.1,5,4,18,0.556,3.62,117,11,32,80,518,158,53,0.28,1.05,robindo01
Kris Benson,PIT,4/9/99,8/8/99,0.5,134,10,8,21,0.556,4.37,126,10,58,92,569,194,50,1.54,0.99,bensokr01
Grayson Rodriguez,BAL,4/5/23,9/16/23,0.5,111.1,6,4,21,0.6,4.53,110,16,39,117,471,154,51,2.54,0.94,rodrigr01
