Rk,Player,Team,Span Started,Span Ended,WPA,IP,W,L,GS,SV,BSv,CG,SHO,GF,IP,Dec,W-L%,ERA,H,R,ER,UER,HR,BB,IBB,SO,HBP,BK,WP,BF,BR,GmSc,Pit,Str,WPA,RE24,IR,IS,aLI,DFS(DK),DFS(FD),Ind. Games Link,Player-additional
61,Tobias Myers,MIL,2024-04-23,2024-08-27,0.8,108.1,6,5,20,0,0,0,0,0,108.1,11,.545,2.99,94,39,36,3,15,28,0,94,5,4,4,440,131,55,1660,1099,0.8,15.17,0,0,0.94,307.55,559.00,Games List,myersto01
62,Chris Paddack,SDP,2019-03-31,2019-08-16,0.8,115.0,7,6,21,0,0,0,0,0,115.0,13,.538,3.44,87,50,44,6,20,26,0,121,6,1,1,466,128,56,1606,1128,0.8,8.14,,,0.93,,,Games List,paddach01
63,Bob Tewksbury,NYY,1986-04-11,1986-09-22,0.8,114.0,7,5,18,0,0,1,0,0,114.0,12,.583,3.63,132,53,46,7,7,28,0,43,3,2,3,493,170,49,,,0.8,5.87,4,1,1.04,,,Games List,tewksbo01
64,Eduardo Rodríguez,BOS,2015-05-28,2015-09-28,0.8,121.2,10,6,21,0,0,0,0,0,121.2,16,.625,3.85,120,55,52,3,13,37,1,98,4,1,4,522,168,52,2010,1287,0.8,6.54,,,0.95,,,Games List,rodried05
65,Ryan Rupe,TBD,1999-05-05,1999-08-31,0.8,125.2,8,7,21,0,0,0,0,0,125.2,15,.533,4.51,122,72,63,9,16,52,2,84,12,1,4,548,194,49,2083,1271,0.8,0.74,,,1.00,,,Games List,rupery01
66,Horacio Ramírez,ATL,2003-04-02,2003-08-10,0.8,130.0,8,4,21,0,0,1,0,0,130.0,12,.667,4.15,130,67,60,7,16,56,9,76,5,0,4,561,200,49,2058,1232,0.8,3.79,,,1.03,,,Games List,ramirho01
67,Shane McClanahan,TBR,2021-04-29,2021-09-02,0.8,105.1,9,5,21,0,0,0,0,0,105.1,14,.643,3.76,106,46,44,2,12,33,0,125,2,0,6,446,146,53,1551,1048,0.8,8.94,,,1.00,,,Games List,mcclash01
68,Kyle Freeland,COL,2017-04-07,2017-07-30 (1),0.7,121.1,11,7,20,0,0,0,0,0,121.1,18,.611,3.71,124,54,50,4,15,44,2,76,8,1,0,525,180,50,1512,923,0.7,11.32,0,0,0.93,,,Games List,freelky01
69,Lance McCullers Jr.,HOU,2015-05-18,2015-09-28,0.7,120.2,6,7,21,0,0,1,0,0,120.2,13,.462,3.21,100,46,43,3,9,41,2,123,5,0,7,496,151,57,2012,1245,0.7,9.82,,,1.02,,,Games List,mcculla02
70,Mark Thurmond,SDP,1983-05-14,1983-09-28,0.7,115.1,7,3,18,0,0,2,0,2,115.1,10,.700,2.65,104,40,34,6,7,33,2,49,2,1,0,466,145,55,,,0.7,12.01,2,0,1.04,,,Games List,thurmma01
71,Daniel Cabrera,BAL,2004-05-13 (1),2004-08-21,0.6,117.2,9,6,20,1,0,1,1,1,117.2,15,.600,4.67,119,64,61,3,12,59,2,60,2,0,9,519,183,47,1910,1129,0.6,0.40,0,0,1.01,,,Games List,cabreda01
