Player,Place,Season,Age,Team,Lg,W,L,W-L%,ERA,IP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,WAR,WAA,Player-additional
Zack Britton,,2011,23,BAL,AL,11,11,0.5,4.61,154.1,666,92,4,1.451,9.4,0.7,3.6,5.7,1.56,0.4,-1.1,brittza01
Pete Harnisch,,1989,22,BAL,AL,5,9,0.357,4.62,103.1,468,82,4.67,1.558,8.4,0.9,5.6,6.1,1.09,0.4,-0.6,harnipe01
Rob Bell,,2000,23,CIN,NL,7,8,0.467,5,140.1,618,95,6.08,1.447,8.3,2.1,4.7,7.2,1.53,0.3,-0.8,bellro01
Jason Davis,,2003,23,CLE,AL,8,11,0.421,4.68,165.1,696,94,4.97,1.325,9.4,1.4,2.6,4.6,1.81,0.3,-1.2,davisja02
Kyle Farnsworth,,1999,23,CHC,NL,5,9,0.357,5.05,130,579,89,6.13,1.477,9.7,1.9,3.6,4.8,1.35,0.3,-0.7,farnsky01
Eric Gagné,,2000,24,LAD,NL,4,6,0.4,5.15,101.1,464,84,6.01,1.638,9.4,1.8,5.3,7,1.32,0.3,-0.5,gagneer01
Chris Codiroli,,1983,25,OAK,AL,12,12,0.5,4.46,205.2,884,86,4.16,1.361,9.1,0.7,3.2,3.7,1.18,0.3,-1.5,codirch01
Travis Driskill,,2002,30,BAL,AL,8,8,0.5,4.95,132.2,589,87,5.11,1.492,10.2,1.4,3.3,5.3,1.63,0.3,-1,drisktr01
Charlie Lea,,1980,23,MON,NL,7,5,0.583,3.72,104,458,96,3.94,1.519,8.9,0.4,4.8,4.8,1.02,0.3,-0.6,leach01
Mike Wood,,2004,24,KCR,AL,3,8,0.273,5.94,100,432,81,5.07,1.4,10.1,1.4,2.5,4.9,1.93,0.3,-0.7,woodmi01
Bob Kipper,,1986,21,PIT,NL,6,8,0.429,4.03,114,496,96,4.24,1.377,9.7,1.3,2.7,6.4,2.38,0.3,-0.7,kippebo01
Randy Wolf,,1999,22,PHI,NL,6,9,0.4,5.55,121.2,552,87,5.14,1.586,9.3,1.5,5,8.6,1.73,0.3,-0.7,wolfra02
John Koronka,,2006,25,TEX,AL,7,7,0.5,5.69,125,554,81,5.19,1.536,10.4,1.2,3.4,4.4,1.3,0.3,-0.9,koronjo01
Jim Parque,,1998,23,CHW,AL,7,5,0.583,5.1,113,507,90,4.85,1.628,10.8,1.1,3.9,6.1,1.57,0.3,-0.8,parquji01
Jeff Francis,ROY-6,2005,24,COL,NL,14,12,0.538,5.68,183.2,828,84,4.74,1.623,11.2,1.3,3.4,6.3,1.83,0.3,-1.2,francje01
Ricky Nolasco,,2006,23,FLA,NL,11,11,0.5,4.82,140,613,90,4.68,1.414,10.1,1.3,2.6,6.4,2.41,0.3,-0.8,nolasri01
Tony Saunders,,1997,23,FLA,NL,4,6,0.4,4.61,111.1,483,88,4.46,1.464,8,1,5.2,8.2,1.59,0.3,-0.6,saundto01
Tony Brizzolara,,1979,22,ATL,NL,6,9,0.4,5.28,107.1,487,77,3.27,1.547,11.2,0.5,2.8,5.4,1.94,0.3,-0.7,brizzto01
Charlie Puleo,,1982,27,NYM,NL,9,9,0.5,4.47,171,759,82,4.17,1.573,9.4,0.7,4.7,5.2,1.09,0.3,-1.2,puleoch01
Frank Seminara,ROY-7,1992,25,SDP,NL,9,4,0.692,3.68,100.1,435,98,3.68,1.435,8.8,0.4,4.1,5.5,1.33,0.3,-0.5,seminfr01
Ken Hill,,1989,23,STL,NL,7,15,0.318,3.8,196.2,862,95,3.81,1.449,8.5,0.4,4.5,5.1,1.13,0.3,-1.3,hillke01
Bob Walk,ROY-7,1980,23,PHI,NL,11,7,0.611,4.57,151.2,673,83,3.64,1.543,9.7,0.5,4.2,5.6,1.32,0.2,-1.1,walkbo01
Tyler Beede,,2019,26,SFG,NL,5,10,0.333,5.08,117,523,82,5.03,1.479,9.8,1.7,3.5,8.7,2.46,0.2,-0.7,beedety01
Juan Nieves,,1986,21,MIL,AL,11,12,0.478,4.92,184.2,834,89,3.98,1.63,10.9,0.8,3.8,5.7,1.51,0.2,-1.4,nieveju01
Vidal Nuño III,,2014,26,ARINYY,ALNL,2,12,0.143,4.56,161.2,679,83,4.51,1.256,8.7,1.4,2.6,7.2,2.8,0.2,-1.2,nunovi01
