Season,Name,Team,W,L,G,GS,CG,ShO,QS,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,WAR,NameASCII,PlayerId,MLBAMID
1999,"Andy Pettitte","NYY",14,11,31,31,0,0,15,191.2,121,4.69565242313033,98.88884451667175,4.66776722797762,97.6293193027037,0.027885195152709485,81.06685673267854,79.98937430864042,104.95647866035182,107.08079598641298,90.47231104514837,111.60209323809876,0.03760282,-0.2397461235523224,-0.6318644285202026,0.4146390447480537,2.6197986602783203,"Andy Pettitte",840,120485
2019,"Michael Pineda","MIN",11,5,26,26,0,0,13,146,140,4.006849315068493,86.53190611715326,4.0222286537902,87.85862777493175,-0.015379338721706937,186.4554428684851,97.90895444081836,98.68087445522772,85.89404501363622,102.65194410670392,55.054413994082296,0.18666667,1.4299120903015137,1.649169921875,-0.13821696747955903,2.616966962814331,"Michael Pineda",5372,501381
1986,"Tom Seaver","- - -",7,13,28,28,2,0,15,176.1,103,4.032135873249486,93.37113161475769,3.927911049078828,95.02775016847303,0.10422482417065826,107.99359343232217,85.05402199977877,100.5562582875283,96.90071122423026,90.26068631414287,83.57966031782867,0.06192358,0.40198811888694763,0.3601594865322113,0.053078964979865084,2.616744488477707,"Tom Seaver",1011708,121961
1988,"Kirk McCaskill","CAL",8,6,23,23,4,2,11,146.1,98,4.305238880670925,110.5489262229869,3.5001071083819806,87.97861509619129,0.8051317722889442,93.74952437643039,65.31892884574174,106.18655138710756,109.73233548381629,107.85616649505327,115.04715510094321,0.05826772,-0.3797979950904846,-0.6033930778503418,0.25088304628795843,2.616055965423584,"Kirk McCaskill",1008382,118564
2005,"Matt Clement","BOS",13,6,32,32,1,0,18,191,146,4.570680263125413,101.1042244592748,4.035737891215641,95.46619360498993,0.5349423719097723,105.19251276086877,79.20781807675877,98.39089542302088,99.96780651455288,110.51214386552178,105.05703867655632,0.0939759,1.2148782014846802,0.7736666202545166,0.477932029594375,2.6160261631011963,"Matt Clement",271,136725
2012,"C.J. Wilson","LAA",13,10,34,34,0,0,21,202.1,173,3.8253704831284305,98.62280054496436,4.043381207125613,101.4359325361914,-0.21801072399718224,77.52970495686994,77.65395286094731,93.7817346522054,102.81435793700224,102.89390203402502,132.71545486703923,0.09479769,0.20316199958324432,-0.5554269552230835,0.7705058407858549,2.615645170211792,"C.J. Wilson",3580,450351
1978,"Mike Paxton","CLE",11,10,27,27,5,2,15,174.1,89,4.026769112379506,106.37956450442537,3.5944034583014464,93.3372315496682,0.43236565407806005,108.2660704250423,82.61404844414749,98.20508250190534,97.23581221762254,101.17759904236812,93.45273180539837,0.04032258,-0.786624014377594,0.08887225389480591,-0.9021004659120269,2.6153013706207275,"Mike Paxton",1010091,120319
2004,"Greg Maddux","CHC",16,11,33,33,2,1,20,212.2,151,4.0203760793948735,92.18771332716697,4.361181584435055,97.29980483169005,-0.3408055050401817,229.85766147084163,133.19210912973222,101.83147751525061,85.17469824235316,100.22145841843826,43.60152925840915,0.1353211,0.5787180662155151,0.44942304491996765,0.17233222066931964,2.612240791320801,"Greg Maddux",104,118120
2011,"R.A. Dickey","NYM",8,13,32,32,1,0,22,207.2,133,3.2937398872255503,89.11193897132532,3.781405528902345,100.07307197694814,-0.4876656416767946,105.52565910401029,86.54332426929211,100.00786892896743,93.835640772959,80.03141399339913,75.84071121244008,0.09059633,-0.6724117994308472,0.3293622136116028,-0.9743016460519957,2.612227439880371,"R.A. Dickey",1245,285079
1992,"Cal Eldred","MIL",11,2,14,14,2,1,12,100.1,62,1.794020024500243,45.83891376392662,2.813218567231661,72.24617424082518,-1.0191985427314183,170.27963467514863,45.63392273358121,80.916756109312,72.38848006314335,112.10702887506727,65.83701827527288,0.09898477,3.25858211517334,2.2707884311676025,1.0739988491060157,2.611504077911377,"Cal Eldred",1653,113793
2012,"Kevin Millwood","SEA",6,12,28,28,1,1,14,161,107,4.248447204968944,110.98895481737371,3.914327871429254,97.96303617792648,0.3341193335396895,77.92183494241404,66.7720794195568,106.11325556227438,106.40804502200436,79.89584521866931,102.53331973940112,0.07402032,-1.3316799402236938,-0.10500235855579376,-1.1934359156687047,2.610355854034424,"Kevin Millwood",106,119154
1996,"Pedro Astacio","LAD",9,8,32,32,0,0,22,204.1,126,3.567699659253584,92.05305598056286,4.111213938496025,98.67335579879484,-0.5435142792424412,101.58582315163818,80.50834718185195,100.95519592346731,94.31453605359734,84.47185208294535,83.1531982998838,0.07593458,2.8103978633880615,0.6239696145057678,2.109417678566922,2.6097590923309326,"Pedro Astacio",862,110359
1994,"John Smiley","CIN",11,10,24,24,1,1,14,158.2,112,3.8571427334972115,91.86959601892912,3.969206889713984,91.53839286525898,-0.11206415621677257,154.91624430894427,106.30936514921517,102.58601477032421,93.72035487310157,101.72135844492031,65.662164671058,0.11160714,-0.15675398707389832,0.9392269849777222,-1.1039479153384615,2.609652042388916,"John Smiley",1012084,122342
1984,"Pascual Perez","ATL",14,8,30,30,4,1,16,211.2,145,3.74173219355228,98.33732580083966,3.760377331795257,100.5449605790592,-0.01864513824297731,159.96386162067068,167.4767321422782,102.62762083254687,92.73717624350004,113.18489105785181,70.75653743055615,0.1087963,0.5756722092628479,0.1792825609445572,0.425609332738215,2.608703374862671,"Pascual Perez",1010185,120414
2003,"Roy Oswalt","HOU",10,5,21,21,0,0,15,127.1,108,2.9685861502773303,67.97000542409798,3.667647591545896,83.86297028264391,-0.6990614412685656,191.5532846076808,100.5696688899806,94.14164703589582,82.42009495958594,123.0252809270622,64.22509623457503,0.1536965,1.7301418781280518,1.773173213005066,0.027382952172145814,2.6082956790924072,"Roy Oswalt",571,400061
2024,"Aaron Nola","PHI",12,8,30,30,1,1,18,181.1,174,3.6231618663328358,87.7698247448901,4.086493848784985,98.2460582739244,-0.46333198245214957,135.11428875055861,124.27652155895883,99.84756167256997,92.91814486483942,104.4439685731585,77.30045918681532,0.17024129,1.3225380182266235,1.7824833393096924,-0.3632164697490359,2.608203649520874,"Aaron Nola",16149,605400
2015,"Ubaldo Jiménez","BAL",12,10,32,32,0,0,14,184,168,4.1086953114472005,101.26283921811776,4.00859367743783,95.92889051299355,0.10010163400937078,93.34942952837865,92.32886988503449,102.08054941305159,105.36171169326569,105.72086629355223,113.25283162466333,0.12642225,-0.21448589861392975,0.1657145917415619,-0.3715178324791253,2.6068472862243652,"Ubaldo Jimenez",3374,434622
2010,"Johnny Cueto","CIN",12,7,31,31,1,1,18,185.2,138,3.635547775490329,88.58830602193464,3.9719178792354484,96.3887182839915,-0.3363701037451192,110.6042573733906,98.65218889608796,100.45589481506532,94.7159672377116,92.4431473190573,83.5800999743269,0.10512821,0.6815919876098633,0.4224591851234436,0.265544850288451,2.606752395629883,"Johnny Cueto",6893,456501
2004,"Mike Maroth","DET",11,13,33,33,2,1,17,217,108,4.313364055299539,96.12070693303347,4.464015933885004,99.88317149031045,-0.1506518785854647,94.90123265690377,90.03159888664672,106.87083213348723,98.61027307353976,70.83051279931662,74.63602635606141,0.05280172,0.9442580342292786,1.182256817817688,-0.2708640202390141,2.6066157817840576,"Mike Maroth",1508,400077
2000,"Rick Helling","TEX",16,13,35,35,0,0,22,217,146,4.47926267281106,87.09709505145412,5.018960488666588,101.16823695354643,-0.5396978158555283,88.17167458818929,99.83880474976189,91.60118287650741,96.18043276143625,96.09861602827694,108.99034657160598,0.04880582,0.7968339323997498,0.39091652631759644,0.3859684315369486,2.6062536239624023,"Rick Helling",58,115727
2019,"Dylan Bundy","BAL",7,14,30,30,0,0,10,161.2,162,4.787628263477033,101.66634099369038,4.729473202519213,97.28796065397796,0.058155060957819416,104.15786807486656,111.48717013004281,100.45364407862051,100.52007013895418,101.81396900967579,97.74967421144815,0.14857143,-0.6670280694961548,-0.8385173678398132,0.14350830454880925,2.6047863960266113,"Dylan Bundy",12917,605164
