Season,Name,Team,PA,HR,R,RBI,SB,CS,OPS,wOBA,WAR,BsR,Def,Off,wRC+,AVG+,BB%+,K%+,OBP+,SLG+,ISO+,BABIP+,MLBAMID,league,award_id,rookie_of_the_year,rom_Awards,rom_award_id,K%+_rank,wOBA_rank,WAR_rank,wRC+_rank,AVG+_rank,BB%+_rank,OBP+_rank,SLG+_rank,ISO+_rank,Def_rank,mean_rank,batter_rank,rookie_leader
2021,Connor Joe,COL,211,8,23,35,0,0.0,0.848420662,0.3661861433802058,0.8992895983694322,-0.3084082079585641,-1.6930369138717651,3.581971619761381,114.48312588314836,114.46026258801814,134.15054317856885,87.12744980541977,116.21580660577172,111.6394879008926,107.54353247145949,109.778975871052,656582,NL,NL,0,0.0,NL,11,1,26,8,6,7,1,9,25,44,13.8,2,2
2023,Cade Marlowe,SEA,100,3,14,11,4,2.0,0.750454545,0.3270511317253113,0.8975663447577492,0.8951829024590552,3.0418325662612915,2.5392857046699655,113.72133574880614,96.70799191354196,143.32614003047146,142.6233335679699,104.10112198882044,102.09444209427856,110.14657804497456,116.90281097412807,687799,AL,AL,0,0.0,AL,73,29,36,19,39,8,24,27,21,26,30.2,23,0
2009,Kyle Blanks,SDP,172,10,24,22,1,1.0,0.868164675,0.3748999004475554,0.8959926902385663,-0.7256907932460308,-3.5351784229278564,7.0974431712878605,136.9572136110084,94.07354923823668,112.85296534397264,182.85787904767184,104.65949371385256,121.67040881145316,168.59102443469516,107.6236075411197,452035,NL,NL,0,0.0,NL,46,3,17,3,30,14,11,3,3,35,16.5,9,0
2003,Miguel Olivo,CHW,346,6,37,27,6,4.0,0.646171158,0.2845892301428387,0.8910990633618605,1.2392828678712249,10.270233154296877,-13.153274993314474,66.75807032814133,88.36401251013021,66.4814791954615,147.2178031303497,85.80971293410308,83.91668956358299,76.51134499428538,100.61200393768269,400018,AL,AL,0,0.0,AL,33,37,12,36,34,31,36,33,30,1,28.3,34,1
2003,Reed Johnson,TOR,457,10,79,52,5,3.0,0.780254641,0.3426942658948374,0.8888592543959996,1.0320722685428336,-10.437204837799072,3.702534783637799,104.6697607140896,109.68862254987638,52.98305207316315,93.34800662367824,105.72982495614116,99.68233574505814,83.02061828678127,111.24484869388836,407862,AL,AL,0,1.0,AL,10,8,13,9,5,40,3,15,22,42,16.7,11,0
2019,Dylan Moore,SEA,282,9,31,28,11,9.0,0.69115507,0.2985311366909339,0.8859822303387795,-0.4489602036774158,3.5623773261904716,-4.655691423036564,88.32836554280514,81.37444483278918,104.27407679893352,144.2349740428439,93.574609177324,88.31401537048762,97.76278971793715,97.03579394843392,664238,AL,AL,0,0.0,AL,68,46,27,39,68,22,48,45,28,7,39.8,41,0
2017,Kevan Smith,CHW,294,4,23,30,0,0.0,0.696959509,0.299798382926233,0.8819580240001632,-2.065918910782784,6.1340107917785645,-6.979297346886578,86.45471891895966,110.29913771990265,36.34588329439559,73.47696858198091,95.30866643156055,90.18381558884866,60.50518045316069,108.48562455770912,607345,AL,AL,0,0.0,AL,6,44,23,41,10,63,38,45,54,7,33.1,31,0
2023,Jacob Young,WSN,121,0,9,12,13,0.0,0.658482496,0.2943086932271214,0.8786475835102213,3.739200267009437,3.4751877188682556,1.1972191732871402,83.0422398661381,100.92228364704444,93.78629436797452,81.469208482658,99.6151848283736,80.77639734206782,50.52144695683928,106.97056238039784,696285,NL,NL,0,0.0,NL,7,48,37,47,31,32,34,62,69,22,38.9,40,0
2017,Yoán Moncada,CHW,231,8,31,22,3,2.0,0.749722638,0.3273250148409888,0.8780640791547353,0.6668378170579672,-0.9766609072685242,2.172283956973678,105.28212140786889,90.21761695043826,149.05483825024814,150.4390106426607,104.05560894784324,95.85498117247803,104.17249574453643,109.0369490601706,660162,AL,AL,0,0.0,AL,59,26,24,21,49,6,17,38,31,28,29.9,28,0
2015,Ben Paulsen,COL,354,11,42,49,1,2.0,0.787317497,0.3385944856124964,0.8780295741814689,1.0569733758457005,-3.2503819465637207,0.5872619542668982,98.86126402434928,106.38051521839364,81.75525779311683,130.3960179564658,100.51035678201472,112.6181475098726,123.47841252448536,114.86626126613872,572019,NL,NL,0,0.0,NL,50,23,36,36,21,39,33,21,23,51,33.3,29,0
