Season,Name,Team,G,IP,SO,ERA,ERA-,FIP,FIP-,E-F,K/BB+,HR/9+,AVG+,WHIP+,K%+,BB%+,K-BB%,WPA,WPA/LI,Clutch,WAR,MLBAMID,decade,WAR/IP,pos,league,award_id,rookie_of_the_year,ERA-_rank,FIP-_rank,HR/9+_rank,WHIP+_rank,AVG+_rank,BB%+_rank,WAR_rank,WAR/IP_rank,IP_rank,K%+_rank,WPA_rank,WPA/LI_rank,K/BB+_rank,K-BB%_rank,Clutch_rank,mean_rookie_rank,rookie_rank,rk_rel_tc,rk_st_tc,mlb_rank,mean_mlb_rank,mlb_rel_tc,mlb_st_tc
2024,Victor Vodnik,COL,55,64.2,57,4.036083109131348,86.03095266221239,3.914163284978845,91.32512656783524,0.1219198241525028,67.19183972982677,61.7904400389593,106.03773499136148,115.02072998014314,90.59603568784988,134.83190086128317,0.09219858,0.5871101021766663,0.4630859792232513,-0.0207737930156016,0.5562725067138672,680767,2020s,0.008664680789935625,relief,NL,,,0.47619047619047616,0.2857142857142857,0.5238095238095238,0.19047619047619047,0.19047619047619047,0.38095238095238093,0.6190476190476191,0.47619047619047616,0.9523809523809523,0.23809523809523808,0.47619047619047616,0.42857142857142855,0.14285714285714285,0.19047619047619047,0.7142857142857143,0.43915343915343924,13,0,0,0.363013698630137,0.44159056316590556,0,0
2024,Simeon Woods Richardson,MIN,24,120.2,104,3.953038757346111,97.58441983880192,4.04095022514704,97.93040535094254,-0.0879114678009287,94.8159442072904,89.41967686599702,96.44167011466143,96.2750003097699,91.08061403471838,96.06044438656166,0.12648221,1.3375502824783323,1.2295793294906616,0.1008905368123651,1.829491376876831,680573,2020s,0.015220394150389609,starter,AL,,,0.5,0.5833333333333334,0.8333333333333334,0.4166666666666667,0.6666666666666666,0.3333333333333333,0.5833333333333334,0.6666666666666666,0.5,0.3333333333333333,0.6666666666666666,0.75,0.3333333333333333,0.16666666666666666,0.5,0.5078125,17,0,0,0.3958333333333333,0.4378255208333333,0,0
2024,Mitchell Parker,WSN,25,132.2,117,4.273869674442592,103.50134646202623,3.9034395038532246,94.57841951941936,0.3704301705893673,122.15779583617798,102.40444965696425,103.31881870953173,98.11440874297244,93.47736183757286,76.52181269624714,0.14616756,-0.2563795447349548,0.7579393982887268,-1.044859795519457,2.0947303771972656,680730,2020s,0.015845161703458895,starter,NL,,,0.4166666666666667,0.75,0.75,0.3333333333333333,0.3333333333333333,0.8333333333333334,0.75,0.75,0.8333333333333334,0.4166666666666667,0.3333333333333333,0.5833333333333334,0.6666666666666666,0.5833333333333334,0.08333333333333333,0.5729166666666667,19,0,0,0.3333333333333333,0.404296875,0,0
2024,Joey Estes,OAK,19,104.1,83,4.399361236833626,111.70918785687938,4.395026837439383,109.81671541348445,0.004334399394243,144.13412762722663,118.19232832975176,98.99373506439376,87.70467796868427,85.93645828327662,59.622562823642056,0.14485981,0.2316365092992782,0.0023060115054249,0.2529821206006226,1.2321616411209106,683155,2020s,0.01183632700404333,starter,AL,,,0.3333333333333333,0.25,0.25,0.8333333333333334,0.5,0.9166666666666666,0.25,0.3333333333333333,0.25,0.16666666666666666,0.4166666666666667,0.3333333333333333,0.8333333333333334,0.5,0.6666666666666666,0.4453125,14,0,0,0.3020833333333333,0.3805338541666667,0,0
2024,Bryce Jarvis,ARI,44,59.1,38,3.185393531490157,75.82958226687653,5.142415394305655,129.47865013775524,-1.9570218628154985,42.079738003390766,80.81355849074869,96.39794090123772,110.99553497194384,66.01571579902362,156.88242839168106,0.01937985,1.0414531230926514,0.4955623149871826,0.8314497304110751,-0.5900243520736694,686826,2020s,-0.009983491574850583,relief,NL,,,0.6666666666666666,0.047619047619047616,0.23809523809523808,0.2857142857142857,0.38095238095238093,0.14285714285714285,0.047619047619047616,0.047619047619047616,0.6428571428571429,0.047619047619047616,0.7619047619047619,0.47619047619047616,0.047619047619047616,0.047619047619047616,1.0,0.38095238095238093,9,0,0,0.2602739726027397,0.37423896499238957,0,0
2024,Kyle Nicolas,PIT,46,49.2,52,3.6241615377543326,85.33934081485685,3.690714816068582,89.85974923374953,-0.0665532783142492,73.08586077542765,48.27118798535542,97.1041529224922,110.75891277483056,106.42475919309666,145.61606947761985,0.11872146,-0.265715628862381,0.381098061800003,-0.7978295179838583,0.2979540526866913,693312,2020s,0.006055976680623806,relief,NL,,,0.5238095238095238,0.38095238095238093,0.8095238095238095,0.3333333333333333,0.3333333333333333,0.2857142857142857,0.3333333333333333,0.2857142857142857,0.4523809523809524,0.5238095238095238,0.2857142857142857,0.3333333333333333,0.23809523809523808,0.23809523809523808,0.23809523809523808,0.36243386243386244,7,0,0,0.2465753424657534,0.3679604261796043,0,0
2024,Erik Miller,SFG,52,48.1,65,4.468966340236385,110.29530589295622,3.849428134378462,97.62805740961,0.6195382058579222,87.97372128886764,99.2056194987039,80.64582191867999,99.38716791295133,142.11598930643973,161.54368099448254,0.18536585,-0.7189041376113892,0.4186619520187378,-1.1853945133523016,0.1505688279867172,669062,2020s,0.0031303290641729146,relief,NL,,,0.14285714285714285,0.14285714285714285,0.09523809523809523,0.42857142857142855,0.7619047619047619,0.09523809523809523,0.14285714285714285,0.14285714285714285,0.38095238095238093,0.9047619047619048,0.14285714285714285,0.38095238095238093,0.3333333333333333,0.7142857142857143,0.14285714285714285,0.3029100529100529,5,0,0,0.21232876712328766,0.3398021308980213,0,0
2024,Anthony Molina,COL,30,49.2,33,5.798658015035233,123.60104083764044,3.9927282156909287,93.12964573866375,1.8059297993443044,70.93627661347806,64.36157903711876,120.31204547096785,118.5588271036491,67.8486002022374,95.64725210040586,0.0733945,-0.0788379982113838,0.0859175622463226,-0.2966371018528754,0.2398350536823272,683627,2020s,0.0048746962130554305,relief,NL,,,0.09523809523809523,0.23809523809523808,0.47619047619047616,0.09523809523809523,0.09523809523809523,0.5714285714285714,0.19047619047619047,0.19047619047619047,0.4523809523809524,0.09523809523809523,0.3333333333333333,0.23809523809523808,0.19047619047619047,0.14285714285714285,0.5238095238095238,0.2830687830687831,4,0,0,0.136986301369863,0.2996575342465754,0,0
2024,Spencer Arrighetti,HOU,25,125.0,151,5.256000320800801,131.00864424029183,4.227359110412602,102.91114701232496,1.0286412103881997,91.7769716122321,110.98259766506166,104.44213300270135,114.5804433034081,121.66268200144044,132.5634138124308,0.16545455,-0.3408215343952179,-0.2412461042404174,-0.1358777845191661,1.4728386402130127,681293,2020s,0.011782709121704102,starter,AL,,,0.08333333333333333,0.3333333333333333,0.5,0.08333333333333333,0.25,0.16666666666666666,0.5,0.25,0.75,0.8333333333333334,0.25,0.25,0.25,0.75,0.3333333333333333,0.375,8,0,0,0.15625,0.2845052083333333,0,0
2024,Stephen Kolek,SDP,42,46.2,39,5.207143566559869,130.88159487589238,3.594501959547712,88.45835132653481,1.6126416070121563,118.76452376006992,68.4991149429125,122.76739333772228,117.8791295661222,82.84486589556967,69.75556416986622,0.12796209,-0.8215910196304321,-0.3938181400299072,-1.3036516786116328,0.2700307667255401,663568,2020s,0.005844821790596106,relief,NL,,,0.047619047619047616,0.47619047619047616,0.38095238095238093,0.14285714285714285,0.047619047619047616,0.8571428571428571,0.23809523809523808,0.23809523809523808,0.2857142857142857,0.19047619047619047,0.09523809523809523,0.047619047619047616,0.6190476190476191,0.38095238095238093,0.09523809523809523,0.2579365079365079,3,0,0,0.10273972602739725,0.27701674277016747,0,0
2024,Kyle Harrison,SFG,24,124.1,118,4.560321902372627,112.54998603680058,4.353578933786178,110.21170537291827,0.2067429685864494,102.6682329749116,115.69554504043592,105.54799230705676,104.06728038827208,99.4154362332079,96.83173814516336,0.14285714,-0.3491519689559936,-1.1500444412231443,0.7840117698373388,0.8206535577774048,690986,2020s,0.006612840916820345,starter,NL,,,0.25,0.16666666666666666,0.3333333333333333,0.25,0.16666666666666666,0.25,0.08333333333333333,0.08333333333333333,0.5833333333333334,0.5833333333333334,0.16666666666666666,0.08333333333333333,0.4166666666666667,0.3333333333333333,1.0,0.3307291666666667,6,0,0,0.14583333333333334,0.26595052083333337,0,0
2024,Jacob Latz,TEX,46,43.2,40,3.709924852478184,90.4236255308752,5.065222243869437,120.1003985731542,-1.355297391391253,54.026179017934595,105.899452710844,100.17528976417636,120.2657636578133,92.32129570456918,170.8825257599887,0.06770833,-0.8684839010238647,-0.1935454905033111,-0.6191981040144017,-0.2206577509641647,656641,2020s,-0.005107818309355664,relief,AL,,,0.38095238095238093,0.09523809523809523,0.047619047619047616,0.047619047619047616,0.2619047619047619,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.14285714285714285,0.2857142857142857,0.047619047619047616,0.09523809523809523,0.09523809523809523,0.09523809523809523,0.2857142857142857,0.18518518518518517,2,0,0,0.03424657534246575,0.1934931506849315,0,0
2024,Mitch Spence,OAK,19,100.2,83,4.559602764195392,115.77806284096964,4.419147157524769,110.42802581507507,0.1404556066706233,89.0240199921808,107.18517602990372,113.73748283994178,112.24077239965598,84.35964260407354,94.7605438991214,0.11238532,-1.0165657997131348,-0.6961744427680969,-0.4093944724876983,0.8661099672317505,687765,2020s,0.008643812048221063,starter,AL,,,0.16666666666666666,0.08333333333333333,0.5833333333333334,0.16666666666666666,0.08333333333333333,0.4166666666666667,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.171875,1,0,0,0.041666666666666664,0.14713541666666666,0,0
