Season,Name,Team,G,PA,HR,R,RBI,BB,SO,SB,CS,AVG,BB/K,wOBA,Def,Off,wRC+,BB%+,K%+,OBP+,SLG+,ISO+,WPA,WPA/LI,Clutch,WAR,MLBAMID,decade,sb_att,sb_pct,WAR/G,league,award_id,rookie_of_the_year,K%+_rank,wRC+_rank,BB%+_rank,BB/K_rank,OBP+_rank,SLG+_rank,ISO+_rank,WAR_rank,WAR/G_rank,wOBA_rank,Def_rank,Off_rank,PA_rank,WPA_rank,WPA/LI_rank,Clutch_rank,mean_rookie_rank,rookie_rank,pos,mean_mlb_rank,mlb_rank,key_bbref,awardID,yearID,lgID,pointsWon,pointsMax,votesFirst,unanimous,vote_share,vote_getter,WPA/G
2011,Justin Turner,NYM,117,487,4,49,51,39,59,7,2,0.259770114,0.661016949,0.3099803455621313,-9.155254244804382,-2.1299328776533475,96.29547077315551,95.11183687565764,66.10848166637253,102.31266985693568,88.36599326045918,66.96080039905247,1.2474958896636963,-0.2374288290739059,1.4630935994780148,0.3831029689953034,457759,2010s,9,0.7777777777777778,0.0032743843503872084,NL,AL,0,4,10,8,1,8,15,16,14,12,11,12,10,6,5,11,2,9.0625,9,batter,136.0625,145,turneju01,Rookie of the Year,2011.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.010662358031313643
2021,Chas McCormick,HOU,108,320,14,47,50,25,104,4,2,0.257042253,0.240384615,0.3265226954594254,8.224911451339722,1.8545267961806355,107.9083135782748,92.1781376689052,142.06237751730498,100.69886520857672,107.56519625566634,111.99132680265348,1.1895229816436768,0.1087950766086578,1.1290948599023605,2.109348456028223,676801,2020s,6,0.6666666666666666,0.019531004222483547,AL,AL,0,17,9,10,15,9,10,7,7,5,10,3,10,17,4,11,1,9.0625,8,batter,118.9375,121,mccorch01,Rookie of the Year,2021.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.011014101681885895
1997,Pokey Reese,CIN,128,437,4,48,26,31,82,25,7,0.219143576,0.37804878,0.2612720629731906,1.3633947372436523,-25.4794013172256,50.385941649165886,77.57787572059773,114.01512476988094,82.97892082060123,67.64429470401271,44.16616507306079,-2.2494680881500244,-2.2577598094940186,-0.1179892492193173,-1.0033280410438767,121009,1990s,32,0.78125,-0.007838500320655287,NL,AL,0,8,10,5,9,10,11,11,9,9,10,8,10,8,11,10,7,9.125,11,batter,191.4375,222,reesepo01,Rookie of the Year,1997.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.017573969438672066
2003,Miguel Cabrera,MIA,87,346,12,39,62,25,84,0,2,0.267515923,0.297619047,0.338419319605757,-3.827072262763977,0.9040387526454072,106.32237874000782,80.10318197700487,150.5532001836415,95.3127134261076,108.62765972332068,123.56173500626,0.9356799721717834,0.1433787047863006,0.8563697994539726,0.8299606890978347,408234,2000s,2,0.0,0.009539778035607295,NL,AL,0,19,6,12,13,10,4,5,11,8,9,13,8,15,3,7,3,9.125,7,batter,142.75,156,cabremi01,Rookie of the Year,2003.0,NL,3.0,160.0,0.0,0.0,0.01875,1,0.010754942208871075
1982,Tom O'Malley,SFG,92,327,2,26,27,33,39,0,3,0.274914089,0.846153846,0.315795398849042,-1.5070871710777285,-1.2123487864376248,99.9063878277738,120.31402398832512,94.62926488917115,106.40046728248328,94.40175491470396,74.27839687742657,-0.2594156563282013,0.0630165114998817,-0.2981453034435944,0.8661251807507485,120009,1980s,3,0.0,0.009414404138595093,NL,AL,0,5,9,1,4,3,13,13,14,12,8,11,9,15,10,9,10,9.125,10,batter,130.5,143,o'malto01,Rookie of the Year,1982.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.002819735394871753
2000,Julio Lugo,HOU,116,465,10,78,40,37,93,22,9,0.283333333,0.397849462,0.3422855890932537,-10.981598615646362,-3.4100118103528123,94.10167505298986,79.5866006067192,123.43871387595296,98.78002162913474,96.54224732401184,85.20144393199061,-1.7845003604888916,-0.5864938497543335,-1.3134960280334396,0.019834193512514,150061,2000s,31,0.7096774193548387,0.00017098442683201724,AL,AL,0,11,9,6,10,6,8,8,11,11,7,10,8,9,11,9,12,9.125,11,batter,177.25,210,lugoju01,Rookie of the Year,2000.0,AL,0.0,0.0,0.0,0.0,0.0,0,-0.015383623797318032
2014,David Peralta,ARI,88,348,8,40,36,16,60,6,3,0.285714285,0.266666666,0.3368517225688747,-5.105972051620483,3.7382274473537898,109.4169265089957,58.74554007337619,86.19992691691407,99.95513551412684,113.7357955977123,117.9667840251374,-0.1822101324796676,0.4310197532176971,-0.5923387443469379,1.0060171398073017,444482,2010s,9,0.6666666666666666,0.011432012952355701,NL,AL,0,5,5,17,13,6,5,6,11,11,4,15,5,16,8,4,15,9.125,7,batter,141.3125,154,peralda01,Rookie of the Year,2014.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.00207056968726895
2006,Conor Jackson,ARI,140,556,15,75,79,54,73,1,0,0.290721649,0.739726027,0.3524636492591223,-15.395084381103516,1.1406847480274038,105.32693323543631,109.34807325080756,79.92352102250022,107.15378731594396,99.81381950646394,88.61144072363584,1.26125967502594,0.7378268241882324,0.4575500977962385,0.4202824690467427,433582,2000s,1,1.0,0.003002017636048162,NL,AL,0,4,10,3,3,1,14,15,17,17,7,19,11,7,4,9,6,9.1875,8,batter,121.375,123,jacksco01,Rookie of the Year,2006.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.009008997678756714
2013,Didi Gregorius,ARI,103,404,7,47,28,37,65,0,2,0.25210084,0.569230769,0.3109397340302515,3.941792726516723,-2.4269018985870474,91.40885636249882,114.59089116941443,84.79864565636528,102.75266481550824,92.97862175218708,84.27172183494869,0.065026193857193,-0.6226585507392883,0.6812527069126726,1.475105322129729,544369,2010s,2,0.0,0.014321410894463388,NL,AL,0,5,13,2,1,5,14,15,11,10,11,11,13,12,6,15,3,9.1875,7,batter,137.1875,139,gregodi01,Rookie of the Year,2013.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.0006313222704581844
1983,Marvell Wynne,PIT,103,415,7,66,26,38,52,12,10,0.243169398,0.73076923,0.3084713743597853,-8.0,-6.637176000361448,89.51224988789056,100.84896611231936,93.82519643593096,96.08185295849351,91.07155266177249,88.37969147236454,-1.105660080909729,-0.3674092292785644,-0.7845433410646727,-0.1014725745063474,124636,1980s,22,0.5454545454545454,-0.0009851706262752175,NL,AL,0,3,9,8,3,8,12,9,11,11,10,13,10,8,11,10,11,9.1875,9,batter,165.9375,200,wynnema01,Rookie of the Year,1983.0,NL,0.0,0.0,0.0,0.0,0.0,0,-0.010734563892327466
2003,Reed Johnson,TOR,114,457,10,79,52,20,67,5,3,0.29368932,0.298507462,0.3426942658948374,-10.437204837799072,3.702534783637799,104.6697607140896,52.98305207316315,93.34800662367824,105.72982495614116,99.68233574505814,83.02061828678127,0.2436780482530594,0.0024655498564243,0.2681846531756206,0.8888592543959996,407862,2000s,8,0.625,0.00779701100347368,AL,AL,0,5,8,18,12,3,10,12,9,11,6,17,5,9,7,8,7,9.1875,8,batter,146.75,160,johnsre02,Rookie of the Year,2003.0,AL,0.0,0.0,0.0,0.0,0.0,0,0.0021375267390619243
2019,Tommy Edman,STL,92,349,11,59,36,16,61,15,1,0.303680981,0.262295081,0.3566056881046568,8.762122213840485,17.02725949830291,123.68685451513603,51.74468109922036,79.96237426577089,105.65535687891602,112.34108932424527,104.87599873274252,2.6075403690338135,1.7840211391448977,0.9058197334583123,3.585501251565588,669242,2010s,16,0.9375,0.03897283969093031,NL,AL,0,7,8,27,19,9,9,10,5,2,7,3,5,25,3,5,4,9.25,4,batter,92.5625,65,edmanto01,Rookie of the Year,2019.0,NL,0.0,0.0,0.0,0.0,0.0,0,0.028342830098193626
